Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
later_a735b51e	p	Вдруг, нам здесь не понравится	game/tent.rpy	258	p "[what]"
later_ea02de70	d	А мне уже тут нравится	game/tent.rpy	259	d "[what]"
later_63238aea	p	Ты еще недавно жаловалась, что устала	game/tent.rpy	260	p "[what]"
later_81fcfe99	d	Уже отдохнула	game/tent.rpy	261	d "[what]"
later_be707908		Пойдем купаться, [player_name], Кирилл?	game/tent.rpy	271	"[what]"
later_e1afa91b	k	Ладно, тогда позже увидимся	game/tent.rpy	279	k "[what]"
later_ed773e3d		Кирилл уходит плавной походкой, как будто на поляне нет не ни кустов, ни камней	game/tent.rpy	280	"[what]"
later_e8d9588f		Девочки делают небольшую площадку для хамелеона и спускаются к морю	game/tent.rpy	292	"[what]"
later_08d3bdff		Девочки спускаются к морю	game/tent.rpy	294	"[what]"
later_fdb2a927	p	Давай немного перекусим, поиграем с хамелеоном, а потом пойдем купаться	game/tent.rpy	299	p "[what]"
later_e3cc2e1e		Давай немного перекусим, а потом пойдем купаться	game/tent.rpy	301	"[what]"
tent_eating_ad9b0ddd		Спелый банан	game/tent.rpy	311	"[what]"
tent_eating_bcc557d4	p	Как же здесь красиво и приятно находится!	game/tent.rpy	314	p "[what]"
tent_eating_88f57084		свежий авокадо	game/tent.rpy	317	"[what]"
tent_eating_438eeccf	p	Чувствую, что готова поразмыслить над смыслом бытия	game/tent.rpy	320	p "[what]"
tent_eating_dd8fe332		Ароматная папайя	game/tent.rpy	323	"[what]"
tent_eating_27b383a4	p	Чувствую, что готова на подвиги	game/tent.rpy	326	p "[what]"
way_4b5a6659		Тропинка стелилась между камней	game/way.rpy	5	"[what]"
way_647ded40	p	Эти камни так нависают над нами, что кажется, что мы оказались в древнем каменном городе	game/way.rpy	6	p "[what]"
way_a7eb4b00	d	У этого города есть на нас таинственные планы...	game/way.rpy	7	d "[what]"
way_09c806a4	p	Звучит как начало какой-то жуткой истории	game/way.rpy	8	p "[what]"
way_38f1b849	d	Хм..., я не верю в мистику...	game/way.rpy	9	d "[what]"
way_d0313e5d	p	Разок увидишь, и, тогда-поверишь...	game/way.rpy	10	p "[what]"
way_ed0fa722	d	О чем это ты, [player_name]?	game/way.rpy	12	d "[what]"
way_924f6b48	p	Я думаю, что все имеет право на существование: и видимое и не видимое	game/way.rpy	14	p "[what]"
way_b1ecefea	d	Ты так говоришь, будто бы общаешься с призраками и НЛО каждый день	game/way.rpy	15	d "[what]"
way_1a056eda	p	Нет, но думаю, что всякое может произойти...и лучше быть готовым к неожиданным поворотам в жизни	game/way.rpy	17	p "[what]"
way_1b2a30ab	p	Даринка, смотри, там, зверек прячется, кажется, это хамелеон!	game/way.rpy	20	p "[what]"
way_ac6e5d71	d	 О, точно, что же он здесь делает один? Сбежал от хозяина, наверное. Возьмем его с собой?	game/way.rpy	28	d "[what]"
chameleon_2cce61c8	p	Может быть, найдем его хозяина или оставим себе	game/way.rpy	35	p "[what]"
chameleon_a0b157e7		Взять на руки хамелеона и отнести наверх	game/way.rpy	36	"[what]"
chameleon_ebee88f3	d	Хамелеон такой прохладный и приятный на ощупь, и такой легкий, как котенок	game/way.rpy	37	d "[what]"
chameleon_8c08d3fd	p	Может он свободолюбивый хамелеон и 'гуляет сам по себе'	game/way.rpy	47	p "[what]"
chameleon_49bec47a	d	Какие яркие цвета теплого колорита у него на спине! Неплохая палитра...	game/way.rpy	48	d "[what]"
chameleon_5701f523	p	Может успеем его сфоткать?	game/way.rpy	49	p "[what]"
chameleon_eabe4143	d	Врядли...	game/way.rpy	50	d "[what]"
chameleon_0e003cb3		Полюбоваться хамелеоном и идти дальше	game/way.rpy	56	"[what]"
